ID,NAME,IMAGE,LINK,EMAIL,PHONE,CELL_PHONE,ADDRESS,ADDRESS2,POSTAL_CODE,TOWN,WEBSITE
ebb73f8d-14a5-436d-b73c-a7606dffe5e8,SUBAQUA COOL CLUB,,http://www.subaquacool.com,,,06 74 27 92 02,164 RUE DU CHATEAU DES RENTIERS,PISCINE CHATEAU DES RENTIERS,75013,PARIS,http://www.subaquacool.com
916c9eaa-f0e4-49dc-95bd-fd42f5f23540,AQUACAILLES - LES PLONGEURS DE LA BUTTE,,http://www.aquacailles.com,,,,5 PLACE PAUL VERLAINE,PISCINE MUNICIPALE DE LA BUTTE AUX CAILLES,75013,PARIS,http://www.aquacailles.com
f39f4ac7-e638-4905-87b1-ecbc4580643d,NAUTILUS PLONGEE,,,,,06 72 93 50 16,PISCINE DIDOT,22 AVENUE GEORGES LAFENESTRE,75014,PARIS,
3210d1e6-4cd0-4198-9b88-4299f4cb782c,SENSATIONS PARIS PLONGEE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07750879-b3578f3a-ad78-482f-a724-53ac5267d3f8.png,http://www.sensations-paris-plongee.fr,,,,PISCINE DE  LA PORTE D AUTEUIL,RTE DES LACS,75016,PARIS,http://www.sensations-paris-plongee.fr
0a06e40d-75fa-4f0a-a7d8-11ef44fcc349,ASSOCIATION SCUBACAILLES,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07750882-59441af2-0541-44ea-a863-de56e20b136d.png,https://scubacailles.fr/,,,,PISCINE BUTTE AUX CAILLES,5 PLACE VERLAINE,75013,Paris,https://scubacailles.fr/
fe152288-7799-46ae-9777-bd0866f11fa9,AQUABSD,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07750853-e5dd3a42-a59a-4d19-afa7-f58338098e38.png,https://www.aquabsd.org/,,,+31611706497,FAMILLE HADDAD,12 RUE DE SIAM,75116,PARIS,https://www.aquabsd.org/
b2518fee-eab7-4fbb-a49d-6758aa55ca58,AQUADEMIE PARIS PLONGEE,,http://www.aquademieparisplongee.org,,,,AQUA 92,119 BD CHARES DE GAULLE,92390,VILLENEUVE LA GARENNE,http://www.aquademieparisplongee.org
ab7a3417-6b37-4367-b7c3-6aa0a441121f,ASSOCIATION SPORTIVE AL�SIA PLONGEE,,,,,07 81 86 70 92,PISCINE THERESE ET JEANEE BRULE,1 PLACE EDITH THOMAS,75014,Paris,
80a5f6ce-57d7-45ad-ab1a-003d6ae2c018,ASSO PARIS DIVING CLUB DE PLONGEE PARISIEN,,,,,,PISCINE ODYSSEE,RUE DU MEDECIN GENERAL BEYNE,28000,CHARTRES,
1ea07feb-9f5b-4435-965c-029ce59218c6,AQUA PARIS PLONGEE,,http://www.aquaparisplongee.fr,,,06 08 24 03 68,14 rue de l'Ing�nieur Robert Keller,PISCINE KELLER,75015,Paris,http://www.aquaparisplongee.fr
ed403415-6652-4b63-86e1-8ce66970fb4f,UNION NATIONALE DES CENTRES DE PLEIN AIR-UCPA,,http://www.ucpa.com,,,06 88 55 97 08,21-37 RUE DE STALINGRAD,,94110,Arcueil,http://www.ucpa.com
7d148ce1-98cb-44e4-bc36-6c5006c1673e,UCPA SPORT LOISIRS,,,,,,21-37 RUE DE STALINGRAD,,94110,Arcueil,
77a28ef4-d909-4bb6-a2cc-d6ecde2634dd,AQUAMUSE,,,,,,.,,75012,Paris,
cdbde485-8bf7-4c34-9a1d-4ea316da6b11,SAFRAN SPORTS VILLAROCHE,,,,,,PISCINE DE MELUN,50 QUAI DU MAR�CHAL JOFFRE,77000,Melun,
add1a88f-7bfc-403a-b7ea-dfafa71349da,UNION SPORTIVE DE MELUN,,http://usmplongee.org,,,,50 QUAI MARECHAL JOFFRE,PISCINE MUNICIPALE,77000,Melun,http://usmplongee.org
22716e14-0ecc-4daf-88cb-859037a42cbe,A.S.S.A.B.,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770105-4aa022e5-6df9-498e-a63d-805d9c1e79ab.png,http://www.assab77.club,,,,PISCINE DE LA FAISANDRIE,ROUTE DE L ERMITAGE,77300,Fontainebleau,http://www.assab77.club
024428b2-84c1-4e9f-9ea8-30dc8299ea0c,C P S CHELLES ET CHAMPS MARNE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770157-851504d7-5d58-4bc8-b308-bff7a6a039f5.png,http://www.plongeechelles.fr,,,,PISCINE ROBERT PREAULT,,77500,Chelles,http://www.plongeechelles.fr
6b47913f-85c8-4f37-94e2-258c1f0a8afb,CLUB SPORTIF DE CANNES-ECLUSE PLONGEE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770075-6ab6a5cc-b486-4eff-94d0-1e8f84916e4a.png,,,,06 74 77 82 15,PISCINE DE LA FAISANDERIE,,77300,Fontainebleau,
cded4608-3b95-4a90-a4aa-affc8f02f35c,CSA CNDS SECTION PLONGEE,,http://www.csacsnd.fr/plongee/,,,,CAMP GUYNEMER,HALLE 11-COMPLEXE SERANDOUR,77300,Fontainebleau,http://www.csacsnd.fr/plongee/
d708185a-44f3-4271-b5c8-17eb448eca27,CTRE INITIATION PLONG. DE LAGNY,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770113-02b76ca6-839c-47c4-b24e-650a16fe197b.png,http://www.ciplagny.org,,,,35-43 AVE J. MERMOZ,CENTRE AQUATIQUE DE MARNE ET GONDOIRE,77400,Lagny-sur-Marne,http://www.ciplagny.org
6c293367-e1bd-4f5a-9353-4bc7544fe9ab,C.A.S. DE PONTHIERRY,,http://cas209.free.fr,,,,.,,77930,C�ly,http://cas209.free.fr
545dc7de-deb5-40de-8d35-d8225f873dd3,BALORY SUBAQUA CLUB,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770295-e6742f1c-3f4e-41ca-82c6-703ac654837c.png,https://balorysubaquaclub.wixsite.com/balorysubaquaclub,,,,PLACE SODBURY,PISCINE HAGONDOKOFF,77240,Cesson,https://balorysubaquaclub.wixsite.com/balorysubaquaclub
9f4dd399-b06e-4b64-a66f-6ba32c12ff16,SUBAQUATIQUE CLUB BRIARD,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770230-5ca89587-bd7c-4e6e-b985-de20ef82eda7.png,http://www.brieplongee.fr,,,,L OREADE,4 AVE DU GENERALE DE GAULLE,77170,Brie-Comte-Robert,http://www.brieplongee.fr
42e42eaa-d947-49ec-b5ad-d9dae7a81167,ORCA CLUB DE TORCY,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770309-a6b4ae96-c3e4-4d64-9060-8fadfdd3d26b.png,http://www.orca-torcy.fr,,,,PISCINE DE TORCY,PLACE DES RENCONTRES,77200,Torcy,http://www.orca-torcy.fr
390500a9-756f-4a2b-9803-476596023ff4,ASS. SPORT. SUB. DE PROVINS,,http://www.assupro.asso-web.com,,,,CENTRE AQUATIQUE DE PROVINOIS,51 RTE DE NANTEUIL,77160,PROVINS,http://www.assupro.asso-web.com
8be9d404-a455-4ddd-b22d-59d61f72fce9,CLUB SUB. COMBS LA VILLAIS,,http://www.combsplongee.fr,,,07 85 51 59 70,Centre aquatique Camille Muffat,rue Baptiste Marcet,77380,Combs-la-Ville,http://www.combsplongee.fr
00b774e5-261e-4aee-b7c0-b7afb0e4e8a1,C.S.M.B.,,http://hockey-fontenay.org,,,,PISCINE INTER COMMUNALE DE FONTENAY,AVE PIERRE DE COUBERTIN,77610,Fontenay-Tr�signy,http://hockey-fontenay.org
16dfa14c-fa73-4fdc-9b9e-13385f46e4b4,CLUB DE LA BULLE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770383-205689ae-1085-4f0a-8904-f5d79c6b178a.png,http://clubdelabulle.com,,,,PISCINE INTERCOMMUNALE E PONTAULT COMBAULT,RD21-CHE DEPONTAULT � SAMMERON,77340,Pontault-Combault,http://clubdelabulle.com
e65bc560-74e5-4c79-9cc1-3acbb9f0637d,A.S. SAP. POMP. SEINE ET MARNE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770385-b443b868-232b-41f8-9b2f-9f84d405f749.png,,,,06 24 22 00 21,PISCINE DE LA FAISANDERIE,ROUTE DE L'ERMITAGE,77300,Fontainebleau,
3077bb62-8bf8-4b74-8066-4fdc95e66d85,L'ASTERINA - C.P. SUB DE MEAUX,,http://www.asterina.org,,,,PISCINE STADE TAUZIET,CHEMIN  DU TOURNAY,77100,Meaux,http://www.asterina.org
83e4b334-221c-4749-aa60-b945f4a6cbb8,MILIEU AQUATIQUE DE CHAMPAGNE,,http://macplongee.wixsite.com/site-mac,,,,CENTRE AQUATIQUE DU GRAND JARDIN,RTE DE ST MAMMES,77250,Moret-Loing-et-Orvanne,http://macplongee.wixsite.com/site-mac
3c261116-b83b-4ca7-89f0-040cc4597ddb,ETOILE SPORT. DE DAMMARIE,https://ffessmmedias.blob.core.windows.net/logostructure/Logo-07770491-0a1d13d1-ae86-4e07-8d12-9cb2bfb8a670.png,http://www.esd-plongee.com,,,,PISCINE JEAN BOITEUX,COMPLEXE SPORTIF JEAN ZAY,77190,Dammarie-les-Lys,http://www.esd-plongee.com
57948391-04f1-485d-965a-30cd0ae5e75b,UNION SPORTIVE MOISSY CRAMAYEL,,http://www.usmcplongee.fr,,,06 59 95 65 57,48 ALLEE DES SPORTS,CENTRE AQUATIQUE  NYMPHEA,77550,Moissy-Cramayel,http://www.usmcplongee.fr
ee104b80-7ecb-4e68-b193-71bf61d14e6d,OZOIR PLONG�E,,http://www.ozoir-plongee.org,,,,PISCINE MUNICIPALE CATHERINE PLEWINSKI,PLACE DES SPORTS,77330,Ozoir-la-Ferri�re,http://www.ozoir-plongee.org
33852134-dd26-41a5-a5c8-81e2c028281a,ATTITUDE PLONGEE,,http://attitudeplongee.free.fr,,,,PISCINE DES TOURETTES,60 RUE DU PAS NOTRE DAME,37100,Tours,http://attitudeplongee.free.fr
1f92f612-1684-4d9c-9bfd-943c8a25c58f,CLUB DE PLONGEE SS MARINE DU PAYS FERTOIS,,https://lestg.vpdive.com/,,,,PISCINE DE LA COMMUNAUTE DE COMMUNE,18 AVE DE REBAIS,77260,La Fert�-sous-Jouarre,https://lestg.vpdive.com/
f53d4f06-7bdd-410f-b1c8-bb0ce8aff971,ODYSSEE 77,,http://www.odyssee77.fr,,,,PISCINE DE GRANDPUITS,35 RUE DE LA VALLEE AUX PRIEURS,77720,GRANDPUITS BAILLY CARROIS,http://www.odyssee77.fr
